cve_estado,estado,anio,comision_busqueda_titular,anio_primer_titular,confianza_titular,fuente
07,CHIAPAS,2022,1,2020,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
07,CHIAPAS,2023,1,2020,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
07,CHIAPAS,2024,1,2020,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
08,CHIHUAHUA,2010,0,2019,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
08,CHIHUAHUA,2011,0,2019,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
08,CHIHUAHUA,2012,0,2019,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
08,CHIHUAHUA,2013,0,2019,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
08,CHIHUAHUA,2014,0,2019,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
08,CHIHUAHUA,2015,0,2019,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
08,CHIHUAHUA,2016,0,2019,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
08,CHIHUAHUA,2017,0,2019,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
08,CHIHUAHUA,2018,0,2019,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
08,CHIHUAHUA,2019,1,2019,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
08,CHIHUAHUA,2020,1,2019,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
08,CHIHUAHUA,2021,1,2019,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
08,CHIHUAHUA,2022,1,2019,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
08,CHIHUAHUA,2023,1,2019,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
08,CHIHUAHUA,2024,1,2019,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
09,CIUDAD DE MEXICO,2010,0,2019,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
09,CIUDAD DE MEXICO,2011,0,2019,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
09,CIUDAD DE MEXICO,2012,0,2019,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
09,CIUDAD DE MEXICO,2013,0,2019,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
09,CIUDAD DE MEXICO,2014,0,2019,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
09,CIUDAD DE MEXICO,2015,0,2019,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
09,CIUDAD DE MEXICO,2016,0,2019,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
09,CIUDAD DE MEXICO,2017,0,2019,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
09,CIUDAD DE MEXICO,2018,0,2019,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
09,CIUDAD DE MEXICO,2019,1,2019,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
09,CIUDAD DE MEXICO,2020,1,2019,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
09,CIUDAD DE MEXICO,2021,1,2019,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
09,CIUDAD DE MEXICO,2022,1,2019,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
09,CIUDAD DE MEXICO,2023,1,2019,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
09,CIUDAD DE MEXICO,2024,1,2019,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
10,DURANGO,2010,0,2019,media,Catálogo titular: Economista 2020-08 (confianza=media)
10,DURANGO,2011,0,2019,media,Catálogo titular: Economista 2020-08 (confianza=media)
10,DURANGO,2012,0,2019,media,Catálogo titular: Economista 2020-08 (confianza=media)
10,DURANGO,2013,0,2019,media,Catálogo titular: Economista 2020-08 (confianza=media)
10,DURANGO,2014,0,2019,media,Catálogo titular: Economista 2020-08 (confianza=media)
10,DURANGO,2015,0,2019,media,Catálogo titular: Economista 2020-08 (confianza=media)
10,DURANGO,2016,0,2019,media,Catálogo titular: Economista 2020-08 (confianza=media)
10,DURANGO,2017,0,2019,media,Catálogo titular: Economista 2020-08 (confianza=media)
10,DURANGO,2018,0,2019,media,Catálogo titular: Economista 2020-08 (confianza=media)
10,DURANGO,2019,1,2019,media,Catálogo titular: Economista 2020-08 (confianza=media)
10,DURANGO,2020,1,2019,media,Catálogo titular: Economista 2020-08 (confianza=media)
10,DURANGO,2021,1,2019,media,Catálogo titular: Economista 2020-08 (confianza=media)
10,DURANGO,2022,1,2019,media,Catálogo titular: Economista 2020-08 (confianza=media)
10,DURANGO,2023,1,2019,media,Catálogo titular: Economista 2020-08 (confianza=media)
10,DURANGO,2024,1,2019,media,Catálogo titular: Economista 2020-08 (confianza=media)
11,GUANAJUATO,2010,0,2020,alta,Catálogo titular: Milenio/Jornada 2020-07 (confianza=alta)
11,GUANAJUATO,2011,0,2020,alta,Catálogo titular: Milenio/Jornada 2020-07 (confianza=alta)
11,GUANAJUATO,2012,0,2020,alta,Catálogo titular: Milenio/Jornada 2020-07 (confianza=alta)
11,GUANAJUATO,2013,0,2020,alta,Catálogo titular: Milenio/Jornada 2020-07 (confianza=alta)
11,GUANAJUATO,2014,0,2020,alta,Catálogo titular: Milenio/Jornada 2020-07 (confianza=alta)
11,GUANAJUATO,2015,0,2020,alta,Catálogo titular: Milenio/Jornada 2020-07 (confianza=alta)
11,GUANAJUATO,2016,0,2020,alta,Catálogo titular: Milenio/Jornada 2020-07 (confianza=alta)
11,GUANAJUATO,2017,0,2020,alta,Catálogo titular: Milenio/Jornada 2020-07 (confianza=alta)
11,GUANAJUATO,2018,0,2020,alta,Catálogo titular: Milenio/Jornada 2020-07 (confianza=alta)
11,GUANAJUATO,2019,0,2020,alta,Catálogo titular: Milenio/Jornada 2020-07 (confianza=alta)
11,GUANAJUATO,2020,1,2020,alta,Catálogo titular: Milenio/Jornada 2020-07 (confianza=alta)
11,GUANAJUATO,2021,1,2020,alta,Catálogo titular: Milenio/Jornada 2020-07 (confianza=alta)
11,GUANAJUATO,2022,1,2020,alta,Catálogo titular: Milenio/Jornada 2020-07 (confianza=alta)
11,GUANAJUATO,2023,1,2020,alta,Catálogo titular: Milenio/Jornada 2020-07 (confianza=alta)
11,GUANAJUATO,2024,1,2020,alta,Catálogo titular: Milenio/Jornada 2020-07 (confianza=alta)
12,GUERRERO,2010,0,2018,alta,Catálogo titular: Quadratin/Suriana 2018 (confianza=alta)
12,GUERRERO,2011,0,2018,alta,Catálogo titular: Quadratin/Suriana 2018 (confianza=alta)
12,GUERRERO,2012,0,2018,alta,Catálogo titular: Quadratin/Suriana 2018 (confianza=alta)
12,GUERRERO,2013,0,2018,alta,Catálogo titular: Quadratin/Suriana 2018 (confianza=alta)
12,GUERRERO,2014,0,2018,alta,Catálogo titular: Quadratin/Suriana 2018 (confianza=alta)
12,GUERRERO,2015,0,2018,alta,Catálogo titular: Quadratin/Suriana 2018 (confianza=alta)
12,GUERRERO,2016,0,2018,alta,Catálogo titular: Quadratin/Suriana 2018 (confianza=alta)
12,GUERRERO,2017,0,2018,alta,Catálogo titular: Quadratin/Suriana 2018 (confianza=alta)
12,GUERRERO,2018,1,2018,alta,Catálogo titular: Quadratin/Suriana 2018 (confianza=alta)
12,GUERRERO,2019,1,2018,alta,Catálogo titular: Quadratin/Suriana 2018 (confianza=alta)
12,GUERRERO,2020,1,2018,alta,Catálogo titular: Quadratin/Suriana 2018 (confianza=alta)
12,GUERRERO,2021,1,2018,alta,Catálogo titular: Quadratin/Suriana 2018 (confianza=alta)
12,GUERRERO,2022,1,2018,alta,Catálogo titular: Quadratin/Suriana 2018 (confianza=alta)
12,GUERRERO,2023,1,2018,alta,Catálogo titular: Quadratin/Suriana 2018 (confianza=alta)
12,GUERRERO,2024,1,2018,alta,Catálogo titular: Quadratin/Suriana 2018 (confianza=alta)
13,HIDALGO,2010,0,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
13,HIDALGO,2011,0,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
13,HIDALGO,2012,0,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
13,HIDALGO,2013,0,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
13,HIDALGO,2014,0,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
13,HIDALGO,2015,0,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
13,HIDALGO,2016,0,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
13,HIDALGO,2017,0,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
13,HIDALGO,2018,0,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
13,HIDALGO,2019,1,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
13,HIDALGO,2020,1,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
13,HIDALGO,2021,1,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
13,HIDALGO,2022,1,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
13,HIDALGO,2023,1,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
13,HIDALGO,2024,1,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
14,JALISCO,2010,0,2018,alta,Catálogo titular: Decreto Jalisco 2018 (confianza=alta)
14,JALISCO,2011,0,2018,alta,Catálogo titular: Decreto Jalisco 2018 (confianza=alta)
14,JALISCO,2012,0,2018,alta,Catálogo titular: Decreto Jalisco 2018 (confianza=alta)
14,JALISCO,2013,0,2018,alta,Catálogo titular: Decreto Jalisco 2018 (confianza=alta)
14,JALISCO,2014,0,2018,alta,Catálogo titular: Decreto Jalisco 2018 (confianza=alta)
14,JALISCO,2015,0,2018,alta,Catálogo titular: Decreto Jalisco 2018 (confianza=alta)
14,JALISCO,2016,0,2018,alta,Catálogo titular: Decreto Jalisco 2018 (confianza=alta)
14,JALISCO,2017,0,2018,alta,Catálogo titular: Decreto Jalisco 2018 (confianza=alta)
14,JALISCO,2018,1,2018,alta,Catálogo titular: Decreto Jalisco 2018 (confianza=alta)
14,JALISCO,2019,1,2018,alta,Catálogo titular: Decreto Jalisco 2018 (confianza=alta)
14,JALISCO,2020,1,2018,alta,Catálogo titular: Decreto Jalisco 2018 (confianza=alta)
14,JALISCO,2021,1,2018,alta,Catálogo titular: Decreto Jalisco 2018 (confianza=alta)
14,JALISCO,2022,1,2018,alta,Catálogo titular: Decreto Jalisco 2018 (confianza=alta)
14,JALISCO,2023,1,2018,alta,Catálogo titular: Decreto Jalisco 2018 (confianza=alta)
14,JALISCO,2024,1,2018,alta,Catálogo titular: Decreto Jalisco 2018 (confianza=alta)
15,ESTADO DE MEXICO,2010,0,2018,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
15,ESTADO DE MEXICO,2011,0,2018,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
15,ESTADO DE MEXICO,2012,0,2018,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
15,ESTADO DE MEXICO,2013,0,2018,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
15,ESTADO DE MEXICO,2014,0,2018,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
15,ESTADO DE MEXICO,2015,0,2018,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
15,ESTADO DE MEXICO,2016,0,2018,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
15,ESTADO DE MEXICO,2017,0,2018,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
15,ESTADO DE MEXICO,2018,1,2018,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
15,ESTADO DE MEXICO,2019,1,2018,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
15,ESTADO DE MEXICO,2020,1,2018,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
15,ESTADO DE MEXICO,2021,1,2018,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
15,ESTADO DE MEXICO,2022,1,2018,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
15,ESTADO DE MEXICO,2023,1,2018,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
15,ESTADO DE MEXICO,2024,1,2018,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
16,MICHOACAN,2010,0,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
16,MICHOACAN,2011,0,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
16,MICHOACAN,2012,0,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
16,MICHOACAN,2013,0,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
16,MICHOACAN,2014,0,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
16,MICHOACAN,2015,0,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
16,MICHOACAN,2016,0,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
16,MICHOACAN,2017,0,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
16,MICHOACAN,2018,0,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
16,MICHOACAN,2019,1,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
16,MICHOACAN,2020,1,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
16,MICHOACAN,2021,1,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
16,MICHOACAN,2022,1,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
16,MICHOACAN,2023,1,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
16,MICHOACAN,2024,1,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
17,MORELOS,2010,0,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
17,MORELOS,2011,0,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
17,MORELOS,2012,0,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
17,MORELOS,2013,0,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
17,MORELOS,2014,0,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
17,MORELOS,2015,0,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
17,MORELOS,2016,0,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
17,MORELOS,2017,0,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
