cve_estado,estado,anio,comision_busqueda,fuente
04,CAMPECHE,2022,1,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
04,CAMPECHE,2023,1,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
04,CAMPECHE,2024,1,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
05,COAHUILA,2010,0,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
05,COAHUILA,2011,0,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
05,COAHUILA,2012,0,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
05,COAHUILA,2013,0,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
05,COAHUILA,2014,0,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
05,COAHUILA,2015,0,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
05,COAHUILA,2016,0,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
05,COAHUILA,2017,0,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
05,COAHUILA,2018,1,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
05,COAHUILA,2019,1,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
05,COAHUILA,2020,1,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
05,COAHUILA,2021,1,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
05,COAHUILA,2022,1,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
05,COAHUILA,2023,1,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
