cve_estado,estado,anio,tasa_hom_doloso,tasa_secuestro,tasa_feminicidio,tasa_extorsion,fuente
06,COLIMA,2010,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
06,COLIMA,2011,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
06,COLIMA,2012,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
06,COLIMA,2013,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
06,COLIMA,2014,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
06,COLIMA,2015,26.6291,0.7236,0.7236,2.0261,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
06,COLIMA,2016,83.3981,0.7152,3.2901,9.5843,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
06,COLIMA,2017,114.9702,0.7071,0.5657,2.2626,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
06,COLIMA,2018,98.99,3.9149,1.6778,7.6899,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
06,COLIMA,2019,103.6904,4.0094,1.3825,10.2308,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
06,COLIMA,2020,86.1372,1.6407,1.0938,13.3991,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
06,COLIMA,2021,70.0497,0.9466,0.8114,12.847,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
06,COLIMA,2022,116.1114,1.0702,2.5416,18.9952,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
06,COLIMA,2023,118.31,0.6617,2.7791,18.9243,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
06,COLIMA,2024,109.7254,0.7856,0.7856,18.0693,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
07,CHIAPAS,2010,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
07,CHIAPAS,2011,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
07,CHIAPAS,2012,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
07,CHIAPAS,2013,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
07,CHIAPAS,2014,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
07,CHIAPAS,2015,9.9222,0.2321,0.6963,4.758,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
07,CHIAPAS,2016,9.3233,0.6673,0.6101,3.2412,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
07,CHIAPAS,2017,9.6059,1.1843,0.5827,3.0453,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
07,CHIAPAS,2018,11.0485,0.964,0.4264,3.7817,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
07,CHIAPAS,2019,10.5502,0.5485,0.3657,3.3461,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
07,CHIAPAS,2020,8.4238,0.2706,0.5231,1.7677,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
07,CHIAPAS,2021,8.9347,0.178,0.8543,1.5128,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
07,CHIAPAS,2022,7.5176,0.2635,0.7904,0.685,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
07,CHIAPAS,2023,9.8994,0.7282,0.6068,0.3988,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
07,CHIAPAS,2024,15.3011,1.3008,0.599,0.4792,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
08,CHIHUAHUA,2010,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
08,CHIHUAHUA,2011,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
08,CHIHUAHUA,2012,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
08,CHIHUAHUA,2013,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
08,CHIHUAHUA,2014,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
08,CHIHUAHUA,2015,32.2033,0.1958,0.0,0.3078,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
08,CHIHUAHUA,2016,40.7461,0.2772,0.0,0.693,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
08,CHIHUAHUA,2017,54.9262,0.4119,0.3296,0.4943,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
08,CHIHUAHUA,2018,60.0035,0.2993,1.2246,0.2177,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
08,CHIHUAHUA,2019,69.5731,0.5933,0.8629,0.5393,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
08,CHIHUAHUA,2020,71.8625,1.069,0.8017,0.5612,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
08,CHIHUAHUA,2021,64.7612,1.4568,1.2184,0.5297,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
08,CHIHUAHUA,2022,52.1666,1.759,1.1552,0.1575,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
08,CHIHUAHUA,2023,54.3658,4.7105,1.3273,0.1301,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
08,CHIHUAHUA,2024,52.657,5.2631,1.2384,0.2064,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
09,CIUDAD DE MEXICO,2010,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
09,CIUDAD DE MEXICO,2011,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
09,CIUDAD DE MEXICO,2012,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
09,CIUDAD DE MEXICO,2013,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
09,CIUDAD DE MEXICO,2014,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
09,CIUDAD DE MEXICO,2015,9.3239,0.6866,0.6533,7.076,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
09,CIUDAD DE MEXICO,2016,10.8974,0.5956,0.5184,6.7171,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
09,CIUDAD DE MEXICO,2017,12.6671,0.5493,0.4285,5.4162,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
09,CIUDAD DE MEXICO,2018,17.4761,3.2282,0.5143,5.8655,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
09,CIUDAD DE MEXICO,2019,16.8301,2.1256,0.7848,9.625,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
09,CIUDAD DE MEXICO,2020,13.7243,0.7383,0.8903,3.9088,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
09,CIUDAD DE MEXICO,2021,10.8806,0.5516,0.7787,5.8729,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
09,CIUDAD DE MEXICO,2022,8.5652,0.3771,0.8188,3.9648,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
09,CIUDAD DE MEXICO,2023,9.3801,0.7405,0.6547,5.5379,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
09,CIUDAD DE MEXICO,2024,9.7718,0.2994,0.7591,5.1425,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
10,DURANGO,2010,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
10,DURANGO,2011,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
