cve_estado,estado,anio,pobreza_pct,pobreza_ext_pct,carencias_pct,gini,fuente
07,CHIAPAS,2016,77.9128,29.6353,89.6866,,CONEVAL anexos estatales
07,CHIAPAS,2017,77.9539,30.1015,89.9738,,CONEVAL anexos estatales
07,CHIAPAS,2018,77.995,30.5676,90.2609,,CONEVAL anexos estatales
07,CHIAPAS,2019,76.7432,29.8087,89.935,,CONEVAL anexos estatales
07,CHIAPAS,2020,75.4913,29.0498,89.6091,,CONEVAL anexos estatales
07,CHIAPAS,2021,71.4311,28.6311,89.4344,,CONEVAL anexos estatales
07,CHIAPAS,2022,67.3708,28.2125,89.2596,,CONEVAL anexos estatales
07,CHIAPAS,2023,67.3708,28.2125,89.2596,,CONEVAL anexos estatales
07,CHIAPAS,2024,67.3708,28.2125,89.2596,,CONEVAL anexos estatales
08,CHIHUAHUA,2010,38.8066,6.5609,61.6245,,CONEVAL anexos estatales
08,CHIHUAHUA,2011,37.0305,5.1681,62.1388,,CONEVAL anexos estatales
08,CHIHUAHUA,2012,35.2545,3.7753,62.653,,CONEVAL anexos estatales
08,CHIHUAHUA,2013,34.8226,4.6094,61.4228,,CONEVAL anexos estatales
08,CHIHUAHUA,2014,34.3907,5.4435,60.1925,,CONEVAL anexos estatales
08,CHIHUAHUA,2015,32.5462,4.3757,57.7894,,CONEVAL anexos estatales
08,CHIHUAHUA,2016,30.7016,3.3078,55.3863,,CONEVAL anexos estatales
08,CHIHUAHUA,2017,28.6722,2.9209,54.7104,,CONEVAL anexos estatales
08,CHIHUAHUA,2018,26.6428,2.5339,54.0345,,CONEVAL anexos estatales
08,CHIHUAHUA,2019,25.9739,2.7344,51.8895,,CONEVAL anexos estatales
08,CHIHUAHUA,2020,25.305,2.9349,49.7446,,CONEVAL anexos estatales
08,CHIHUAHUA,2021,21.4386,2.5155,48.7194,,CONEVAL anexos estatales
08,CHIHUAHUA,2022,17.5722,2.0961,47.6943,,CONEVAL anexos estatales
08,CHIHUAHUA,2023,17.5722,2.0961,47.6943,,CONEVAL anexos estatales
08,CHIHUAHUA,2024,17.5722,2.0961,47.6943,,CONEVAL anexos estatales
09,CIUDAD DE MEXICO,2010,28.5441,2.1643,62.923,,CONEVAL anexos estatales
09,CIUDAD DE MEXICO,2011,28.7249,2.3161,62.0956,,CONEVAL anexos estatales
09,CIUDAD DE MEXICO,2012,28.9057,2.4679,61.2683,,CONEVAL anexos estatales
09,CIUDAD DE MEXICO,2013,28.639,2.0873,58.7967,,CONEVAL anexos estatales
09,CIUDAD DE MEXICO,2014,28.3723,1.7067,56.3251,,CONEVAL anexos estatales
09,CIUDAD DE MEXICO,2015,27.4861,1.7048,55.3117,,CONEVAL anexos estatales
09,CIUDAD DE MEXICO,2016,26.5999,1.7029,54.2983,,CONEVAL anexos estatales
09,CIUDAD DE MEXICO,2017,28.2838,1.6783,54.7182,,CONEVAL anexos estatales
09,CIUDAD DE MEXICO,2018,29.9678,1.6536,55.138,,CONEVAL anexos estatales
09,CIUDAD DE MEXICO,2019,31.2861,2.9959,54.5455,,CONEVAL anexos estatales
09,CIUDAD DE MEXICO,2020,32.6045,4.3381,53.953,,CONEVAL anexos estatales
09,CIUDAD DE MEXICO,2021,28.286,3.0254,52.3307,,CONEVAL anexos estatales
09,CIUDAD DE MEXICO,2022,23.9676,1.7126,50.7085,,CONEVAL anexos estatales
09,CIUDAD DE MEXICO,2023,23.9676,1.7126,50.7085,,CONEVAL anexos estatales
09,CIUDAD DE MEXICO,2024,23.9676,1.7126,50.7085,,CONEVAL anexos estatales
10,DURANGO,2010,51.5742,10.4744,72.6244,,CONEVAL anexos estatales
10,DURANGO,2011,50.8154,8.969,72.2287,,CONEVAL anexos estatales
10,DURANGO,2012,50.0567,7.4635,71.8329,,CONEVAL anexos estatales
10,DURANGO,2013,46.7606,6.3867,69.7941,,CONEVAL anexos estatales
10,DURANGO,2014,43.4644,5.3099,67.7553,,CONEVAL anexos estatales
10,DURANGO,2015,40.3288,4.0123,65.5833,,CONEVAL anexos estatales
10,DURANGO,2016,37.1931,2.7146,63.4113,,CONEVAL anexos estatales
10,DURANGO,2017,37.9901,2.4324,62.6877,,CONEVAL anexos estatales
10,DURANGO,2018,38.7872,2.1502,61.9641,,CONEVAL anexos estatales
10,DURANGO,2019,38.7394,3.2273,61.9744,,CONEVAL anexos estatales
10,DURANGO,2020,38.6917,4.3044,61.9846,,CONEVAL anexos estatales
10,DURANGO,2021,36.5014,5.3032,62.2255,,CONEVAL anexos estatales
10,DURANGO,2022,34.3111,6.302,62.4665,,CONEVAL anexos estatales
10,DURANGO,2023,34.3111,6.302,62.4665,,CONEVAL anexos estatales
10,DURANGO,2024,34.3111,6.302,62.4665,,CONEVAL anexos estatales
11,GUANAJUATO,2010,48.5123,8.424,77.4212,,CONEVAL anexos estatales
11,GUANAJUATO,2011,46.4895,7.6612,77.2398,,CONEVAL anexos estatales
11,GUANAJUATO,2012,44.4666,6.8984,77.0584,,CONEVAL anexos estatales
11,GUANAJUATO,2013,45.5108,6.2044,75.6419,,CONEVAL anexos estatales
11,GUANAJUATO,2014,46.555,5.5103,74.2255,,CONEVAL anexos estatales
11,GUANAJUATO,2015,42.953,4.5909,72.4667,,CONEVAL anexos estatales
11,GUANAJUATO,2016,39.3511,3.6715,70.7079,,CONEVAL anexos estatales
11,GUANAJUATO,2017,40.4196,3.6204,70.7766,,CONEVAL anexos estatales
11,GUANAJUATO,2018,41.4881,3.5692,70.8454,,CONEVAL anexos estatales
11,GUANAJUATO,2019,42.1153,4.0523,70.8724,,CONEVAL anexos estatales
11,GUANAJUATO,2020,42.7424,4.5354,70.8994,,CONEVAL anexos estatales
11,GUANAJUATO,2021,37.8883,3.8878,69.003,,CONEVAL anexos estatales
11,GUANAJUATO,2022,33.0343,3.2402,67.1066,,CONEVAL anexos estatales
11,GUANAJUATO,2023,33.0343,3.2402,67.1066,,CONEVAL anexos estatales
11,GUANAJUATO,2024,33.0343,3.2402,67.1066,,CONEVAL anexos estatales
12,GUERRERO,2010,67.5706,31.8299,90.529,,CONEVAL anexos estatales
12,GUERRERO,2011,68.6334,31.7707,90.9602,,CONEVAL anexos estatales
12,GUERRERO,2012,69.6961,31.7114,91.3913,,CONEVAL anexos estatales
12,GUERRERO,2013,67.4571,28.0819,91.3825,,CONEVAL anexos estatales
12,GUERRERO,2014,65.2181,24.4524,91.3738,,CONEVAL anexos estatales
12,GUERRERO,2015,66.0231,23.8363,89.4223,,CONEVAL anexos estatales
12,GUERRERO,2016,66.8282,23.2201,87.4708,,CONEVAL anexos estatales
12,GUERRERO,2017,67.3591,25.0738,87.7754,,CONEVAL anexos estatales
12,GUERRERO,2018,67.89,26.9274,88.08,,CONEVAL anexos estatales
12,GUERRERO,2019,67.1479,26.2159,88.0761,,CONEVAL anexos estatales
12,GUERRERO,2020,66.4057,25.5044,88.0722,,CONEVAL anexos estatales
12,GUERRERO,2021,63.3802,23.8672,87.3181,,CONEVAL anexos estatales
12,GUERRERO,2022,60.3547,22.23,86.5641,,CONEVAL anexos estatales
12,GUERRERO,2023,60.3547,22.23,86.5641,,CONEVAL anexos estatales
12,GUERRERO,2024,60.3547,22.23,86.5641,,CONEVAL anexos estatales
13,HIDALGO,2010,54.6685,13.4722,82.1293,,CONEVAL anexos estatales
13,HIDALGO,2011,53.7208,11.717,82.7946,,CONEVAL anexos estatales
13,HIDALGO,2012,52.7731,9.9618,83.4598,,CONEVAL anexos estatales
13,HIDALGO,2013,53.5383,11.1286,81.7861,,CONEVAL anexos estatales
13,HIDALGO,2014,54.3036,12.2954,80.1124,,CONEVAL anexos estatales
13,HIDALGO,2015,55.6029,10.9038,80.5266,,CONEVAL anexos estatales
13,HIDALGO,2016,56.9022,9.5121,80.9408,,CONEVAL anexos estatales
13,HIDALGO,2017,53.386,8.2707,81.099,,CONEVAL anexos estatales
13,HIDALGO,2018,49.8697,7.0292,81.2571,,CONEVAL anexos estatales
13,HIDALGO,2019,50.3103,7.586,79.4228,,CONEVAL anexos estatales
13,HIDALGO,2020,50.7508,8.1427,77.5885,,CONEVAL anexos estatales
13,HIDALGO,2021,45.8749,7.4607,77.7797,,CONEVAL anexos estatales
13,HIDALGO,2022,40.999,6.7787,77.971,,CONEVAL anexos estatales
13,HIDALGO,2023,40.999,6.7787,77.971,,CONEVAL anexos estatales
13,HIDALGO,2024,40.999,6.7787,77.971,,CONEVAL anexos estatales
14,JALISCO,2010,37.0497,5.2547,70.7431,,CONEVAL anexos estatales
14,JALISCO,2011,38.4194,5.5368,69.4363,,CONEVAL anexos estatales
14,JALISCO,2012,39.7891,5.8188,68.1296,,CONEVAL anexos estatales
14,JALISCO,2013,37.5788,4.5201,66.5596,,CONEVAL anexos estatales
14,JALISCO,2014,35.3684,3.2214,64.9896,,CONEVAL anexos estatales
14,JALISCO,2015,32.9184,2.3473,63.5392,,CONEVAL anexos estatales
14,JALISCO,2016,30.4684,1.4732,62.0887,,CONEVAL anexos estatales
14,JALISCO,2017,29.135,1.8865,61.9348,,CONEVAL anexos estatales
14,JALISCO,2018,27.8015,2.2998,61.7809,,CONEVAL anexos estatales
14,JALISCO,2019,29.6085,2.652,60.7739,,CONEVAL anexos estatales
14,JALISCO,2020,31.4155,3.0042,59.7669,,CONEVAL anexos estatales
14,JALISCO,2021,26.6258,2.564,59.7014,,CONEVAL anexos estatales
14,JALISCO,2022,21.8362,2.1237,59.6359,,CONEVAL anexos estatales
14,JALISCO,2023,21.8362,2.1237,59.6359,,CONEVAL anexos estatales
14,JALISCO,2024,21.8362,2.1237,59.6359,,CONEVAL anexos estatales
15,ESTADO DE MEXICO,2010,42.8914,8.5707,75.042,,CONEVAL anexos estatales
15,ESTADO DE MEXICO,2011,44.1129,7.2102,74.9293,,CONEVAL anexos estatales
15,ESTADO DE MEXICO,2012,45.3344,5.8497,74.8167,,CONEVAL anexos estatales
15,ESTADO DE MEXICO,2013,47.4672,6.544,74.0381,,CONEVAL anexos estatales
15,ESTADO DE MEXICO,2014,49.6,7.2383,73.2596,,CONEVAL anexos estatales
15,ESTADO DE MEXICO,2015,48.1227,6.4574,70.3748,,CONEVAL anexos estatales
15,ESTADO DE MEXICO,2016,46.6454,5.6765,67.49,,CONEVAL anexos estatales
15,ESTADO DE MEXICO,2017,44.2099,5.1643,67.7664,,CONEVAL anexos estatales
15,ESTADO DE MEXICO,2018,41.7745,4.652,68.0428,,CONEVAL anexos estatales
15,ESTADO DE MEXICO,2019,45.3195,6.4317,67.5034,,CONEVAL anexos estatales
15,ESTADO DE MEXICO,2020,48.8646,8.2114,66.9639,,CONEVAL anexos estatales
15,ESTADO DE MEXICO,2021,45.87,7.0857,66.6447,,CONEVAL anexos estatales
15,ESTADO DE MEXICO,2022,42.8755,5.96,66.3254,,CONEVAL anexos estatales
15,ESTADO DE MEXICO,2023,42.8755,5.96,66.3254,,CONEVAL anexos estatales
15,ESTADO DE MEXICO,2024,42.8755,5.96,66.3254,,CONEVAL anexos estatales
